
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
10-Oct-2014,08:36,08:56,"Kentish Town to Goodge Street",2.80,,13.55,""
09-Oct-2014,22:04,22:24,"Old Street to Kentish Town",1.45,,16.35,""
09-Oct-2014,18:07,18:25,"Kentish Town to Old Street",1.45,,17.80,""
08-Oct-2014,16:51,17:40,"Perivale to Kentish Town West",2.30,,19.25,""
08-Oct-2014,08:19,09:15,"Kentish Town West to Perivale",2.30,,21.55,""
07-Oct-2014,20:52,,"Bus journey, route 214",1.45,,23.85,""
07-Oct-2014,18:34,18:54,"Kentish Town to Old Street",1.45,,25.30,""
