
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
10-Aug-2014,22:48,23:16,"Chalk Farm to Marble Arch",1.45,,5.05,""
10-Aug-2014,16:40,17:01,"Leicester Square to Kentish Town",1.45,,6.50,""
10-Aug-2014,13:45,13:57,"Holland Park to Bond Street",1.45,,7.95,""
10-Aug-2014,13:45,,"Topped up, Holland Park",,5.00,9.40,""
06-Aug-2014,23:11,23:24,"Brixton [London Underground] to Victoria [London Underground]",1.45,,4.40,""
06-Aug-2014,19:20,19:32,"Victoria [London Underground] to Brixton [London Underground]",1.45,,5.85,""
