
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
07-Dec-2014,22:40,23:02,"Old Street to Kentish Town",1.45,,21.90,""
07-Dec-2014,20:09,,"Bus journey, route 214",1.45,,23.35,""
05-Dec-2014,19:52,20:25,"Shepherd's Bush [London Overground] to Kentish Town West",1.00,,24.80,""
05-Dec-2014,08:16,08:52,"Kentish Town West to Shepherd's Bush [London Overground]",1.60,,25.80,""
