
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
07-Nov-2014,17:00,17:14,"Euston [London Underground] to Marble Arch",2.20,,23.45,""
07-Nov-2014,08:41,08:52,"Kentish Town to Euston [London Underground]",2.20,,25.65,""
