
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
08-Jul-2014,23:57,00:29,"Kentish Town to Shepherd's Bush (Central line)",1.45,,7.30,""
08-Jul-2014,18:41,19:09,"Shepherd's Bush [London Overground] to Kentish Town West",1.60,,8.75,""
