
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
02-Nov-2014,19:21,19:35,"Euston [London Underground] to Kentish Town",1.45,,27.85,""
02-Nov-2014,19:21,,"Auto top-up, Euston [London Underground]",,20.00,29.30,""
30-Oct-2014,08:27,08:43,"Kentish Town to Euston [London Underground]",2.20,,9.30,""
