
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
20-Sep-2014,17:02,17:28,"Blackfriars [National Rail] to Kentish Town",1.45,,25.70,""
20-Sep-2014,14:00,14:18,"Kentish Town to Goodge Street",1.45,,27.15,""
20-Sep-2014,14:00,,"Auto top-up, Kentish Town",,20.00,28.60,""
18-Sep-2014,08:07,08:19,"Kentish Town to Euston [London Underground]",2.20,,8.60,""
17-Sep-2014,22:24,,"Topped-up on touch in, Kentish Town",,10.00,8.90,""
17-Sep-2014,22:08,22:24,"Goodge Street to Kentish Town",1.45,,10.80,""
15-Sep-2014,08:18,08:57,"Kentish Town to Oxford Circus",2.80,,2.25,""
