
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
26-Oct-2014,16:43,17:20,"North Greenwich to Kentish Town",1.45,,11.50,""
26-Oct-2014,09:59,10:37,"Kentish Town to North Greenwich",1.45,,12.95,""
25-Oct-2014,17:04,17:42,"North Greenwich to Kentish Town",1.45,,14.40,""
25-Oct-2014,09:33,10:13,"Kentish Town to North Greenwich",1.45,,15.85,""
24-Oct-2014,22:14,22:48,"North Greenwich to Kentish Town",1.45,,17.30,""
24-Oct-2014,14:06,14:38,"Euston [London Underground] to North Greenwich",1.45,,18.75,""
24-Oct-2014,08:35,08:48,"Kentish Town to Euston [London Underground]",2.20,,20.20,""
24-Oct-2014,08:35,,"Oyster helpline refund, Kentish Town",,1.45,22.40,""
