
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
23-May-2014,23:10,23:37,"North Greenwich to Bond Street",.00,,10.35,"The fare for this journey was capped as you reached the daily charging limit for the zones used"
23-May-2014,18:22,18:49,"Baker Street to North Greenwich",1.70,,10.35,"The fare for this journey was capped as you reached the daily charging limit for the zones used"
23-May-2014,16:12,,"Topped up, Baker Street",,10.00,12.05,""
23-May-2014,15:57,16:12,"Waterloo [London Underground / National Rail] to Baker Street",1.45,,2.05,""
23-May-2014,11:15,11:37,"Shepherd's Bush (Central line) to Bank",1.45,,3.50,""
