
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
30-Nov-2014,21:06,21:32,"Paddington (Bakerloo, Circle/District and H&C) to Kentish Town",1.45,,27.40,""
30-Nov-2014,21:06,,"Auto top-up, Paddington (Bakerloo, Circle/District and H&C)",,20.00,28.85,""
28-Nov-2014,15:54,16:11,"Euston Square to Paddington (Bakerloo, Circle/District and H&C)",1.45,,8.85,""
28-Nov-2014,13:09,13:20,"Green Park to Euston [London Underground]",1.45,,10.30,""
28-Nov-2014,11:49,11:58,"Euston [London Underground] to Green Park",1.45,,11.75,""
28-Nov-2014,07:55,08:05,"Kentish Town to Euston [London Underground]",2.20,,13.20,""
